iter	Passed	Remaining
0	9	4870
1	9	4870
2	9	4870
3	9	4870
4	214	56088
5	263	45930
6	2100	273631
7	2160	224729
8	2189	189390
9	4081	302046
10	6000	387802
11	6102	349875
12	7908	407289
13	8017	374650
14	8072	345097
15	8501	334823
16	10347	377672
17	12206	415032
18	12643	402208
19	12745	380858
20	14547	409744
21	14574	388154
22	14604	368757
23	14629	351110
24	16481	376824
25	16572	361704
26	16996	354806
27	17420	348409
28	17619	338153
29	17823	328744
30	17830	316495
31	19710	337117
32	21629	356879
33	21722	346164
34	22617	348455
35	24480	364985
36	26281	379531
37	26713	373992
38	28547	387768
39	30398	400931
40	32215	412866
41	32322	402791
42	34124	413761
43	35996	424932
44	37817	434902
45	37834	424093
46	39622	433142
47	41376	441353
48	43197	449820
49	45047	458137
50	46812	465200
51	48597	472091
52	50373	478546
53	50385	468285
54	52285	475596
55	54136	482119
56	54151	472322
57	54166	462875
58	55998	468988
59	57834	474850
60	59665	480413
61	61454	485383
62	63277	490403
63	65097	495167
64	66931	499827
65	68808	504597
66	70688	509174
67	72457	512775
68	74261	516457
69	76062	519948
70	77885	523439
71	79646	526358
72	81485	529654
73	83276	532503
74	85124	535572
75	86975	538534
76	88789	541134
77	90620	543724
78	92407	545932
79	92423	537736
80	94233	540031
81	96022	542100
82	97874	544425
83	99735	546698
84	101648	549151
85	103565	551518
86	105376	553228
87	107187	554855
88	109001	556412
89	110822	557935
90	112684	559581
91	114496	560902
92	116433	562761
93	118281	564112
94	120034	564945
95	121859	566057
96	122748	562816
97	124690	564389
98	126539	565473
99	128487	566933
100	130368	568034
101	130840	563009
102	132758	564224
103	134561	564889
104	136309	565282
105	137233	562258
106	137331	555927
107	139081	556326
108	140885	556895
109	142759	557694
110	144613	558370
111	144835	552765
112	146766	553708
113	148783	554921
114	150702	555714
115	152603	556396
116	154457	556859
117	156298	557239
118	158272	558046
119	160145	558456
120	161921	558491
121	163858	559046
122	165760	559440
123	167554	559437
124	169424	559657
125	171243	559673
126	173097	559773
127	174944	559821
128	176792	559841
129	178566	559603
130	180446	559667
131	182303	559630
132	184133	559483
133	185959	559297
134	187732	558932
135	189566	558722
136	191418	558541
137	193230	558222
138	195046	557889
139	197023	557994
140	198919	557838
141	200706	557358
142	202525	556944
143	202964	552754
144	204842	552496
145	206708	552185
146	208530	551737
147	210313	551167
148	212229	550923
149	214129	550617
150	215998	550213
151	217823	549675
152	219659	549148
153	221536	548706
154	223347	548081
155	225163	547457
156	227117	547146
157	229057	546781
158	230937	546255
159	232729	545506
160	234557	544825
161	236433	544243
162	236642	539841
163	238482	539178
164	240290	538428
165	242047	537553
166	243978	537049
167	245861	536425
168	247853	536019
169	249759	535413
170	251627	534708
171	253437	533868
172	255241	533004
173	257116	532275
174	259008	531570
175	260878	530803
176	262754	530038
177	264598	529197
178	266437	528332
179	268293	527492
180	270092	526528
181	271914	525599
182	273775	524737
183	275607	523805
184	277605	523180
185	279613	522556
186	281597	521874
187	283561	521140
188	285483	520316
189	287304	519299
190	289145	518307
191	290952	517248
192	292828	516303
193	294599	515163
194	296434	514129
195	298285	513112
196	300083	511997
197	301932	510963
198	303713	509804
199	305509	508665
200	307367	507622
201	309369	506806
202	311206	505711
203	313145	504771
204	314941	503594
205	316742	502419
206	318576	501289
207	320389	500119
208	322227	498982
209	324111	497909
